year,gdp,tax_revenue,cumulative_tax
0,550.0,192.5,192.5
1,555.5,177.76,370.26
2,564.388,163.67252,533.93252
3,576.8045360000001,149.96917936000004,683.90169936
4,592.9550630080001,136.37966449184004,820.28136385184
5,613.1155351502722,122.62310703005444,942.9044708818944
6,637.6401565562832,127.52803131125664,1070.432502193151
7,663.1457628185345,132.62915256370693,1203.061654756858
8,689.671593331276,137.9343186662552,1340.9959734231132
9,717.2584570645271,143.45169141290544,1484.4476648360185
10,745.9487953471082,149.18975906942166,1633.63742390544
11,775.7867471609926,155.15734943219855,1788.7947733376387
12,806.8182170474323,161.36364340948649,1950.158416747125
13,839.0909457293296,167.81818914586595,2117.976605892991
14,872.6545835585029,174.53091671170058,2292.5075226046917
15,907.560766900843,181.5121533801686,2474.01967598486
16,943.8631975768767,188.77263951537536,2662.7923155002356
17,981.6177254799518,196.32354509599038,2859.115860596226
18,1020.8824344991499,204.17648689983,3063.2923474960559
19,1061.717731879116,212.3435463758232,3275.635893871879
20,1104.1864411542807,220.83728823085614,3496.4731821027355
