質量_kg,シュワルツシルト半径_m,表面重力_ms2,ホーキング温度_K,ホーキング放射_W,蒸発時間_s,蒸発時間_年,抽出可能エネルギー_J,単位質量当たり抽出可能エネルギー_Jkg
10000000000.0,1.4852320538237332e-17,3.025638910845516e+33,12269006698422.717,3561622142596.2207,84114779048559.81,2665436.504948406,2.606390018336771e+26,2.6063900183367708e+16
127427498570.31342,1.892594054152074e-16,2.3744003019693543e+32,962822533289.6088,21934186250.11029,1.7404509251393357e+17,5515156175.18232,3.32125760335288e+27,2.6063900183367708e+16
1623776739188.728,2.4116852612964787e-15,1.8633343105759648e+31,75558458267.80696,135081293.63319364,3.601233287517213e+20,11411619665364.96,4.232195485028931e+28,2.6063900183367708e+16
20691380811147.973,3.073150201859029e-14,1.4622701783224545e+30,5929525347.004631,831895.7303248694,7.451448934180176e+23,2.3612216816805384e+16,5.392980841178108e+29,2.606390018336771e+16
263665089873036.8,3.916038429537496e-13,1.1475311017861556e+29,465325413.5513593,5123.214973140363,1.541807674919441e+27,4.8856936995191054e+19,6.872140584289507e+30,2.6063900183367708e+16
3359818286283794.0,4.990109813811814e-12,9.005364734150832e+27,36516875.77423462,31.55122776115174,3.190212973930867e+30,1.0109174886337577e+23,8.756996844795436e+31,2.606390018336771e+16
4.281332398719409e+16,6.358772111652118e-11,7.067049761776303e+26,2865698.234991636,0.1943076717364205,6.600991151226818e+33,2.091727872597035e+26,1.115882202920409e+33,2.6063900183367708e+16
5.4555947811685376e+17,8.102824241664987e-10,5.545937761523873e+25,224888.52619282715,0.0011966403203527928,1.3658362164105163e+37,4.328073796519749e+29,1.4219407781727857e+34,2.606390018336771e+16
6.951927961775628e+18,1.0325226244702656e-08,4.352229953304525e+24,17648.351314746684,7.369488005787443e-06,2.82610372794078e+40,8.955382310254203e+32,1.811943564776829e+35,2.6063900183367708e+16
8.858667904100855e+19,1.31571775253501e-07,3.415455849118e+23,1384.9719654512785,4.538486004836736e-08,5.847598844662735e+43,1.85299225690887e+36,2.3089143601008793e+36,2.606390018336771e+16
1.1288378916847004e+21,1.6765862203009205e-06,2.680313030890548e+22,108.68705585451424,2.7950184870268615e-10,1.2099489452574172e+47,3.834096842780874e+39,2.9421918132073283e+37,2.606390018336771e+16
1.4384498882876774e+22,2.1364318819040264e-05,2.103402374654302e+21,8.529325072997622,1.7213071351319649e-12,2.503551438836866e+50,7.933275784080114e+42,3.749161430710645e+38,2.6063900183367704e+16
1.8329807108324412e+23,0.0002722401705768953,1.6506659851709153e+20,0.6693472891403638,1.0600639198662223e-14,5.180193620126934e+53,1.641504303282548e+46,4.777462628517514e+39,2.606390018336771e+16
2.335721469090129e+24,0.00346908839469692,1.2953765895828933e+19,0.05252769587806229,6.528384686652528e-17,1.0718535886952825e+57,3.3964990642358177e+49,6.087801122651411e+40,2.606390018336771e+16
2.9763514416313264e+25,0.04420572564555324,1.0165596940350484e+18,0.004122163305989874,4.020494030425801e-19,2.217813077748957e+60,7.027825556281076e+52,7.757532688530147e+41,2.6063900183367708e+16
3.79269019073226e+26,0.5633025041498401,7.977553553514352e+16,0.0003234908753792496,2.4760140562393687e-21,4.588961495964762e+63,1.4541541485932904e+56,9.885229855768345e+42,2.6063900183367708e+16
4.8329302385718e+27,7.178022904220819,6260464690133074.0,2.538626897715864e-05,1.5248488271093292e-23,9.495194984070178e+66,3.0088457246654302e+59,1.2596501133131488e+44,2.6063900183367708e+16
6.158482110660279e+28,91.46775033652683,491296208461523.6,1.9922127689849374e-06,9.390754223214224e-26,1.964686952914974e+70,6.225717269104665e+62,1.605140630133052e+45,2.606390018336771e+16
7.847599703514631e+29,1165.5506625237554,38554959798605.06,1.5634088335224226e-07,5.783279188927213e-28,4.065208591745752e+73,1.2881868683758436e+66,2.0453905535143136e+46,2.6063900183367708e+16
1e+31,14852.32053823733,3025638910845.516,1.2269006698422716e-08,3.5616221425962205e-30,8.411477904855982e+76,2.665436504948406e+69,2.6063900183367708e+47,2.6063900183367708e+16
