4.22,-1.8E+43
1004.22,-1.164983628907023E+44
2004.22,-1.289371519542695E+44
3004.22,-1.362228861211246E+44
4004.22,-1.413948412067888E+44
5004.22,-1.454076307332107E+44
6004.22,-1.486868887129073E+44
7004.22,-1.514597935587664E+44
8004.22,-1.538620029636271E+44
9004.220000000002,-1.559810431307751E+44
10004.22,-1.578766887884035E+44
11004.22,-1.59591581757479E+44
12004.22,-1.611572113002358E+44
13004.22,-1.625974932798755E+44
14004.22,-1.639310195466079E+44
15004.22,-1.651725296244533E+44
16004.22,-1.663339065911655E+44
17004.22,-1.674248705906268E+44
18004.22,-1.684534738643464E+44
19004.22,-1.694264617926377E+44
20004.22,-1.703495412401551E+44
21004.22,-1.712275833753066E+44
22004.22,-1.720647792734327E+44
23004.22,-1.728647609092949E+44
24004.22,-1.736306963848553E+44
25004.22,-1.743653657080314E+44
26004.22,-1.750712217025957E+44
27004.22,-1.757504394183933E+44
28004.22,-1.764049565526998E+44
29004.22,-1.770365067763583E+44
30004.22,-1.776466474086674E+44
31004.22,-1.782367825533643E+44
32004.22,-1.788081825607056E+44
33004.22,-1.793620004942301E+44
34004.22,-1.798992861389187E+44
35004.22,-1.804209979785129E+44
36004.22,-1.809280134853661E+44
37004.22,-1.814211380003189E+44
38004.22,-1.819011124282733E+44
39004.22,-1.823686199340897E+44
40004.22,-1.828242917907016E+44
41004.22,-1.832687125050815E+44
42004.22,-1.83702424326492E+44
43004.22,-1.841259312242513E+44
44004.22,-1.845397024081993E+44
45004.22,-1.849441754535382E+44
46004.22,-1.853397590822275E+44
47004.22,-1.857268356452584E+44
48004.22,-1.86105763343598E+44
49004.22,-1.86476878220139E+44
50004.22,-1.868404959504159E+44
51004.22,-1.871969134560012E+44
52004.22,-1.875464103612421E+44
53004.22,-1.878892503112464E+44
54004.22,-1.882256821666782E+44
55004.22,-1.885559410889285E+44
56004.22,-1.888802495275143E+44
57004.22,-1.891988181200885E+44
58004.22,-1.895118465141819E+44
59004.22,-1.898195241187052E+44
60004.22,-1.901220307922948E+44
61004.22,-1.904195374747659E+44
62004.22,-1.907122067672248E+44
63004.22,-1.910001934657692E+44
64004.22,-1.912836450531619E+44
65004.22,-1.915627021523886E+44
66004.22,-1.918374989455899E+44
67004.22,-1.92108163561494E+44
68004.22,-1.923748184341491E+44
69004.22,-1.926375806354689E+44
70004.22,-1.928965621838535E+44
71004.22,-1.931518703309214E+44
72004.22,-1.934036078281888E+44
73004.22,-1.936518731753572E+44
74004.22,-1.938967608517099E+44
75004.22,-1.941383615319771E+44
76004.22,-1.943767622879065E+44
77004.22,-1.946120467766572E+44
78004.22,-1.948442954170396E+44
79004.22,-1.950735855545295E+44
80004.22,-1.952999916159036E+44
81004.22,-1.955235852542699E+44
82004.22,-1.957444354852004E+44
83004.22,-1.959626088146129E+44
84004.22,-1.961781693589958E+44
85004.22,-1.963911789585177E+44
86004.22,-1.966016972835231E+44
87004.22,-1.968097819348721E+44
88004.22,-1.970154885385457E+44
89004.22,-1.972188708349069E+44
90004.22,-1.974199807629742E+44
91004.22,-1.9761886854004E+44
92004.22,-1.97815582736937E+44
93004.22,-1.980101703492375E+44
94004.22,-1.98202676864644E+44
95004.22,-1.983931463268145E+44
96004.22,-1.985816213958465E+44
97004.22,-1.987681434056265E+44
98004.22,-1.989527524182391E+44
99004.22,-1.991354872756133E+44
